STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,TOTAL IPC CRIMES
MAHARASHTRA,AHMEDNAGAR,2001,97,41,0,496,4391
MAHARASHTRA,AKOLA,2001,64,41,2,189,4020
MAHARASHTRA,AMRAVATI COMMR.,2001,44,29,10,55,2837
MAHARASHTRA,AMRAVATI RURAL,2001,72,23,4,92,3655
MAHARASHTRA,AURANGABAD COMMR.,2001,36,27,4,102,2351
MAHARASHTRA,AURANGABAD RURAL,2001,61,12,6,247,2708
MAHARASHTRA,BEED,2001,68,43,2,177,3644
MAHARASHTRA,BHANDARA,2001,32,22,5,60,2252
MAHARASHTRA,BULDHANA,2001,49,32,35,223,3701
MAHARASHTRA,CHANDRAPUR,2001,49,26,2,144,3123
MAHARASHTRA,DHULE,2001,48,25,6,127,2040
MAHARASHTRA,GADCHIROLI,2001,47,24,0,57,1364
MAHARASHTRA,GONDIA,2001,41,17,4,80,2006
MAHARASHTRA,HINGOLI,2001,36,27,2,134,1841
MAHARASHTRA,JALGAON,2001,83,44,5,389,4014
MAHARASHTRA,JALNA,2001,43,24,5,172,2529
MAHARASHTRA,KOLHAPUR,2001,54,33,19,80,3162
MAHARASHTRA,LATUR,2001,42,17,38,150,3044
MAHARASHTRA,MUMBAI,2001,295,200,18,198,28968
MAHARASHTRA,MUMBAI RLY.,2001,12,9,0,0,2023
MAHARASHTRA,NAGPUR COMMR.,2001,112,70,7,218,9912
MAHARASHTRA,NAGPUR RLY.,2001,12,1,2,0,1056
MAHARASHTRA,NAGPUR RURAL,2001,101,56,3,141,5680
MAHARASHTRA,NANDED,2001,80,66,21,202,5348
MAHARASHTRA,NANDURBAR,2001,44,20,2,78,1079
MAHARASHTRA,NASIK COMMR.,2001,25,14,3,99,2195
MAHARASHTRA,NASIK RURAL,2001,92,54,7,339,4880
MAHARASHTRA,NAVI MUMBAI,2001,34,18,5,57,3063
MAHARASHTRA,OSMANABAD,2001,48,13,2,102,2702
MAHARASHTRA,PARBHANI,2001,49,28,1,120,2475
MAHARASHTRA,PUNE COMMR.,2001,71,44,2,147,8936
MAHARASHTRA,PUNE RLY.,2001,4,1,0,0,386
MAHARASHTRA,PUNE RURAL,2001,119,41,5,165,4380
MAHARASHTRA,RAIGAD,2001,53,11,1,55,2218
MAHARASHTRA,RATNAGIRI,2001,17,5,0,62,1431
MAHARASHTRA,SANGLI,2001,85,24,12,96,2999
MAHARASHTRA,SATARA,2001,57,19,13,179,3465
MAHARASHTRA,SINDHUDURG,2001,14,4,0,8,821
MAHARASHTRA,SOLAPUR COMMR.,2001,30,14,6,62,1567
MAHARASHTRA,SOLAPUR RURAL,2001,101,30,6,90,3145
MAHARASHTRA,THANE COMMR.,2001,133,81,6,212,6616
MAHARASHTRA,THANE RURAL,2001,140,33,6,104,3780
MAHARASHTRA,WARDHA,2001,60,25,9,89,3443
MAHARASHTRA,WASHIM,2001,29,21,10,116,1826
MAHARASHTRA,YAVATMAL,2001,56,45,12,177,4157
MAHARASHTRA,TOTAL,2001,2839,1454,308,6090,171233
MAHARASHTRA,AHMEDNAGAR,2002,82,45,8,280,4506
MAHARASHTRA,AKOLA,2002,59,34,4,156,3886
MAHARASHTRA,AMRAVATI COMMR.,2002,27,25,4,68,2665
MAHARASHTRA,AMRAVATI RURAL,2002,58,36,5,95,3922
MAHARASHTRA,AURANGABAD COMMR.,2002,32,18,7,110,2440
MAHARASHTRA,AURANGABAD RURAL,2002,50,29,24,208,2703
MAHARASHTRA,BEED,2002,69,51,2,158,3288
MAHARASHTRA,BHANDARA,2002,36,13,3,70,2258
MAHARASHTRA,BULDHANA,2002,50,35,17,162,3665
MAHARASHTRA,CHANDRAPUR,2002,52,19,3,116,2970
MAHARASHTRA,DHULE,2002,46,25,7,124,2149
MAHARASHTRA,GADCHIROLI,2002,51,33,0,65,1403
MAHARASHTRA,GONDIA,2002,44,16,4,70,1959
MAHARASHTRA,HINGOLI,2002,32,15,6,98,1629
MAHARASHTRA,JALGAON,2002,81,39,10,219,4302
MAHARASHTRA,JALNA,2002,48,28,5,199,2326
